genome_id,group_id
562.58780,grp_0010
562.58783,grp_0014
562.58784,grp_0010
562.59219,grp_0001
562.65790,grp_0020
562.65805,grp_0006
562.73378,grp_0010
562.7566,grp_0014
562.7575,grp_0010
562.7628,grp_0010
562.7633,grp_0010
562.7640,grp_0010
562.7649,grp_0014
562.7658,grp_0010
562.7663,grp_0045
562.7672,grp_0010
562.7680,grp_0018
562.7681,grp_0010
562.7682,grp_0014
562.7684,grp_0018
562.7686,grp_0015
562.7687,grp_0023
562.7689,grp_0014
562.7702,grp_0039
562.7703,grp_0010
562.7704,grp_0014
562.7713,grp_0010
562.7726,grp_0010
562.7733,grp_0014
562.7737,grp_0010
562.7758,grp_0018
562.7760,grp_0046
562.7761,grp_0047
562.7771,grp_0010
562.7775,grp_0045
562.7777,grp_0010
562.7782,grp_0018
562.7790,grp_0048
562.96429,grp_0010
562.96454,grp_0001
562.96455,grp_0010
562.96463,grp_0001
562.96526,grp_0005
562.96596,grp_0010
562.96610,grp_0049
562.96638,grp_0001
562.96645,grp_0030
562.96662,grp_0004
562.96666,grp_0004
562.96677,grp_0001
562.96706,grp_0004
562.96717,grp_0050
562.96732,grp_0051
562.96738,grp_0010
562.96756,grp_0001
562.96772,grp_0001
562.96784,grp_0010
562.96788,grp_0010
562.96900,grp_0001
562.96919,grp_0001
562.96965,grp_0001
562.96971,grp_0030
562.96995,grp_0030
562.97020,grp_0010
562.97061,grp_0001
562.97067,grp_0010
562.97068,grp_0001
562.97071,grp_0001
562.97072,grp_0001
562.97074,grp_0001
562.97203,grp_0010
562.97222,grp_0010
562.97225,grp_0010
562.97234,grp_0010
562.97266,grp_0010
562.97287,grp_0001
562.97289,grp_0001
562.97352,grp_0028
562.97357,grp_0049
562.97405,grp_0001
562.97497,grp_0014
562.97801,grp_0009
562.97852,grp_0001
562.97986,grp_0003
562.97993,grp_0010
562.98064,grp_0001
562.98099,grp_0049
562.98113,grp_0009
562.98175,grp_0003
562.98181,grp_0009
562.98212,grp_0006
562.98219,grp_0031
562.98316,grp_0009
562.98326,grp_0005
562.98330,grp_0009
562.98348,grp_0014
562.98422,grp_0003
562.98437,grp_0001
562.98440,grp_0004
562.98442,grp_0014
562.98470,grp_0009
562.98490,grp_0052
562.98523,grp_0003
562.98545,grp_0001
562.98634,grp_0031
562.98642,grp_0001
562.98756,grp_0009
562.98787,grp_0005
562.98800,grp_0005
562.98839,grp_0021
562.98919,grp_0009
562.98931,grp_0011
562.98992,grp_0007
562.99022,grp_0009
562.99042,grp_0003
562.99080,grp_0009
562.99120,grp_0009
562.99122,grp_0014
562.99156,grp_0006
562.99206,grp_0001
562.99277,grp_0009
562.99320,grp_0031
562.99322,grp_0009
562.99400,grp_0004
562.99437,grp_0009
562.99466,grp_0053
562.99495,grp_0008
562.99530,grp_0003
562.99640,grp_0054
562.99722,grp_0004
562.99727,grp_0001
562.99842,grp_0001
